Time_IMU(ms),Acc X[mg],Acc Y[mg],Acc Z[mg],Gyr X[mdps],Gyr Y[mdps],Gyr Z[mdps],Time_GPS(ms),Lat(degrees*10^-7),Long(degrees*10^-7),Alt(mm),SIV
97219,192,-186,-96,5600,-2940,2590
97720,130,-165,15,-3780,-560,3220
,,,,,,,98102,352938356,-1206456821,110802,13
98221,171,-225,-35,1400,1960,1680
98722,119,-175,-55,6160,-3640,-980
,,,,,,,99109,352938349,-1206456819,110722,14
99223,109,-182,-52,-5950,5600,-15470
99724,189,-219,5,7910,-6650,11270
,,,,,,,100103,352938345,-1206456820,110617,14
100225,201,-233,13,-5320,4550,-7910
100726,158,-229,-33,3150,-2450,1330
,,,,,,,101112,352938342,-1206456821,110526,14
101227,173,-224,-42,2870,-2030,280
101728,149,-209,-9,910,-1050,70
,,,,,,,102107,352938340,-1206456823,110415,14
102229,153,-199,-7,980,-1470,-280
102730,133,-193,-7,7560,-3780,5110
,,,,,,,103123,352938335,-1206456825,110394,16
103231,127,-106,-18,1960,1190,7350
103732,99,-129,8,840,3570,2310
,,,,,,,104117,352938332,-1206456826,110349,16
104233,106,-129,-25,2730,-2240,-1470
104734,113,-124,-13,1540,-2660,3220
,,,,,,,105132,352938329,-1206456829,110280,17
105235,133,-129,26,980,-2100,2660
105736,131,-130,-15,1890,-1750,-630
,,,,,,,106123,352938326,-1206456830,110236,17
106237,138,-122,-17,140,-350,-1400
106738,135,-115,-29,-1750,-1260,-1050
,,,,,,,107132,352938323,-1206456831,110163,17
107239,145,-124,5,2380,-1260,-3080
107740,147,-115,85,-5320,-3710,1330
,,,,,,,108126,352938319,-1206456831,110117,17
108241,144,-191,-10,-1960,7140,3500
108742,132,-99,6,7560,-6230,-7000
,,,,,,,109142,352938315,-1206456833,110051,18
109243,114,-54,24,2100,-1260,-6090
109744,160,-71,10,280,-3010,7910
,,,,,,,110133,352938313,-1206456833,110007,18
110245,98,-48,46,-3290,-3150,-2310
110746,136,-45,5,-2240,-140,12180
,,,,,,,111144,352938311,-1206456837,109935,18
111247,34,-110,100,-12880,-4200,12250
111748,192,-127,-24,-8610,-770,2660
,,,,,,,112138,352938310,-1206456842,109843,18
112249,135,-245,-15,-5740,-6090,-5040
112750,218,-267,-31,7770,1120,-33950
,,,,,,,113148,352938311,-1206456847,109756,18
113251,160,-44,-19,-12110,2590,-31570
113752,162,-152,50,-1470,2660,-11550
