dTime_IMU(ms),Acc X[mg],Acc Y[mg],Acc Z[mg],Gyr X[mdps],Gyr Y[mdps],Gyr Z[mdps],Time_GPS(ms),Lat(degrees*10^-7),Long(degrees*10^-7),Alt(mm),SIV
69672,-940,345,-1211,-2240,-630,-2940
,,,,,,,70032,353628514,-1208698598,-30118,25
70173,-923,361,-1128,1820,-4480,700
70674,-924,349,-1175,-140,3920,1610
,,,,,,,71034,353628513,-1208698599,-30107,25
71175,-937,372,-1157,3710,-11690,1820
71676,-908,379,-1131,-3080,6230,70
,,,,,,,72035,353628513,-1208698600,-30087,24
72177,-904,398,-1128,70,-2730,3500
72678,-883,394,-1156,-2450,-3220,140
,,,,,,,73036,353628514,-1208698598,-30069,24
73179,-901,399,-1167,-1330,-1540,490
73680,-875,437,-1071,1540,-2590,1540
,,,,,,,74039,353628516,-1208698598,-30053,23
74181,-891,414,-1107,5320,-5740,3290
74682,-894,403,-1141,1050,-5250,420
,,,,,,,75042,353628518,-1208698602,-30068,23
75183,-893,430,-1121,2310,-2310,-770
75684,-905,404,-1119,5810,-5530,1750
,,,,,,,76044,353628520,-1208698604,-30052,23
76185,-903,412,-1108,3080,-8680,-490
76686,-907,399,-1135,1890,-3430,1400
,,,,,,,77050,353628521,-1208698605,-30036,23
77187,-911,349,-1156,-6230,3220,-3710
77688,-905,388,-1146,-980,-630,1050
,,,,,,,78052,353628520,-1208698607,-30074,24
78189,-907,420,-1131,8330,-3360,1750
78690,-903,411,-1094,-4760,7630,-2660
,,,,,,,79056,353628521,-1208698608,-30074,25
79191,-915,422,-1099,-560,-5880,-1330
79692,-910,421,-1115,10220,-6580,2450
,,,,,,,80058,353628524,-1208698606,-30009,25
80193,-906,422,-1026,2240,1120,-2240
80694,-892,387,-1134,4620,-18620,-420
,,,,,,,81061,353628525,-1208698604,-29969,24
81195,-919,365,-1076,-3990,3360,1190
81696,-940,378,-1094,-1960,350,1330
,,,,,,,82064,353628526,-1208698604,-29937,24
82197,-918,371,-1112,1820,-3150,1890
82698,-917,401,-1114,6930,-6440,1330
,,,,,,,83066,353628528,-1208698605,-29903,24
83199,-958,361,-1166,3500,420,700
83700,-916,376,-1158,19250,-1400,10080
,,,,,,,84068,353628531,-1208698600,-29846,23
84201,-933,401,-1040,11060,-28980,10010
84702,-894,502,-1104,-15260,14140,1190
,,,,,,,85071,353628533,-1208698600,-29791,24
85203,-934,345,-1468,-22330,12110,-24080
85704,-994,365,-1170,23170,5390,24010
,,,,,,,86074,353628532,-1208698599,-29754,24
86205,-893,438,-1172,3780,-4900,490
86706,-911,337,-1143,4970,-17710,4830
,,,,,,,87076,353628531,-1208698598,-29726,24
87207,-878,416,-1139,-420,3220,-8610
87708,-917,397,-1146,-420,31500,-6510
,,,,,,,88079,353628530,-1208698595,-29733,24
